season,batter,matches_played,avg_runs_last_5,avg_sr_last_5,career_avg_runs,runs
2019,AB de Villiers,135,32.8,129.28104575163405,30.659259259259258,59
2019,AB de Villiers,136,30.6,127.00034399724807,30.86764705882353,75
2019,AB de Villiers,137,45.4,146.41210870313043,31.18978102189781,25
2019,AB de Villiers,138,47.8,142.52321981424151,31.144927536231883,82
2019,AB de Villiers,139,51.6,141.11657019787327,31.510791366906474,17
2019,AB de Villiers,140,51.6,139.0113070399785,31.40714285714286,10
2019,AB de Villiers,141,41.8,157.95867546103113,31.25531914893617,1
2020/21,AB de Villiers,142,27.0,138.5469107551488,31.04225352112676,15
2020/21,AB de Villiers,143,25.0,138.5469107551488,30.93006993006993,24
2020/21,AB de Villiers,144,13.4,122.09473684210529,30.881944444444443,35
2020/21,AB de Villiers,145,17.0,137.5333333333334,30.910344827586208,28
2020/21,AB de Villiers,146,20.6,115.53333333333339,30.89041095890411,12
2020/21,AB de Villiers,147,22.8,129.5333333333334,30.761904761904763,9
2020/21,AB de Villiers,148,21.6,134.5333333333334,30.614864864864863,55
2020/21,AB de Villiers,149,27.8,163.15942028985512,30.778523489932887,0
2020/21,AB de Villiers,150,20.8,129.8260869565218,30.573333333333334,2
2020/21,AB de Villiers,151,15.6,109.82608695652179,30.3841059602649,51
2020/21,AB de Villiers,152,23.4,119.82608695652179,30.519736842105264,73
2020/21,AB de Villiers,153,36.2,132.76726342711,30.797385620915033,39
2020/21,AB de Villiers,154,33.0,106.60784313725495,30.850649350649352,61
2020/21,AB de Villiers,155,45.2,150.17927170868353,31.045161290322582,56
2021,AB de Villiers,156,56.0,167.63381716322897,31.205128205128204,48
2021,AB de Villiers,157,55.4,169.1893727187845,31.312101910828027,1
2021,AB de Villiers,158,41.0,130.24819624819628,31.120253164556964,76
2021,AB de Villiers,159,48.4,150.80375180375182,31.40251572327044,4
2021,AB de Villiers,160,37.0,116.12121212121217,31.23125,75
2021,AB de Villiers,161,40.8,125.55038759689928,31.503105590062113,3
2021,AB de Villiers,162,31.8,96.66149870801038,31.32716049382716,0
2021,AB de Villiers,163,31.6,92.66149870801038,31.134969325153374,23
2021,AB de Villiers,164,21.0,75.99483204134371,31.085365853658537,19
2021,AB de Villiers,165,24.0,96.33671238322405,31.01212121212121,26
2021,AB de Villiers,166,14.2,81.4529914529915,30.981927710843372,4
2021,AB de Villiers,167,14.4,154.78632478632485,30.820359281437124,11
2021,AB de Villiers,168,16.6,186.21489621489627,30.702380952380953,12
2021,AB de Villiers,169,14.4,182.4775224775225,30.59171597633136,11
2011,AC Blizzard,5,22.0,117.69047619047623,22.0,10
2012,AC Blizzard,6,22.8,115.87229437229443,20.0,0
2007/08,AC Gilchrist,5,31.8,129.4333333333334,31.8,46
2007/08,AC Gilchrist,6,36.4,134.4771929824562,34.166666666666664,54
2007/08,AC Gilchrist,7,45.6,145.8886043938676,37.0,61
2007/08,AC Gilchrist,8,55.2,141.8976746886522,40.0,24
2007/08,AC Gilchrist,9,38.2,126.53296880629924,38.22222222222222,14
2007/08,AC Gilchrist,10,39.8,134.53296880629924,35.8,13
2007/08,AC Gilchrist,11,33.2,125.6165601375686,33.72727272727273,50
2007/08,AC Gilchrist,12,32.4,120.23689475790323,35.083333333333336,10
2007/08,AC Gilchrist,13,22.2,112.00560224089642,33.15384615384615,5
2009,AC Gilchrist,14,18.4,96.27030812324935,31.142857142857142,13
2009,AC Gilchrist,15,18.2,91.90667175961299,29.933333333333334,71
2009,AC Gilchrist,16,29.8,108.16810966810972,32.5,35
2009,AC Gilchrist,17,26.8,117.69191919191925,32.64705882352941,44
2009,AC Gilchrist,18,33.6,145.0252525252526,33.27777777777778,8
2009,AC Gilchrist,19,34.2,164.5252525252526,31.94736842105263,39
2009,AC Gilchrist,20,39.4,162.5555555555556,32.3,0
2009,AC Gilchrist,21,25.2,131.00000000000006,30.761904761904763,25
2009,AC Gilchrist,22,23.2,113.79569892473123,30.5,20
2009,AC Gilchrist,23,18.4,93.32511068943714,30.043478260869566,10
2009,AC Gilchrist,24,18.8,77.9917773561038,29.208333333333332,64
2009,AC Gilchrist,25,23.8,92.8965392608657,30.6,43
2009,AC Gilchrist,26,32.4,119.7715392608657,31.076923076923077,23
2009,AC Gilchrist,27,32.0,139.02712238741657,30.77777777777778,15
2009,AC Gilchrist,28,31.0,131.2871843069212,30.214285714285715,85
2009,AC Gilchrist,29,46.0,161.84273986247678,32.10344827586207,0
2009/10,AC Gilchrist,30,33.2,125.27131129104819,31.033333333333335,54
2009/10,AC Gilchrist,31,35.4,126.08861898335587,31.774193548387096,38
2009/10,AC Gilchrist,32,38.4,128.70400359874048,31.96875,33
2009/10,AC Gilchrist,33,42.0,163.68376068376074,32.0,24
