player,venue,venue_runs_avg,venue_strike_rate_avg
AR Patel,"MA Chidambaram Stadium, Chepauk",9.0,90.0
AR Patel,"MA Chidambaram Stadium, Chepauk, Chennai",21.0,162.5
AR Patel,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",21.0,161.53846153846155
AR Patel,Maharashtra Cricket Association Stadium,15.0,101.80952380952381
AR Patel,"Maharashtra Cricket Association Stadium, Pune",8.0,200.0
AR Patel,"Narendra Modi Stadium, Ahmedabad",33.0,105.9375
AR Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali",7.857142857142857,155.75396825396825
AR Patel,"Punjab Cricket Association Stadium, Mohali",15.0,94.88947833775418
AR Patel,Rajiv Gandhi International Stadium,14.0,140.0
AR Patel,"Rajiv Gandhi International Stadium, Uppal",19.333333333333332,135.48722519310755
AR Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",20.0,92.85714285714286
AR Patel,"Sardar Patel Stadium, Motera",12.0,171.42857142857142
AR Patel,Saurashtra Cricket Association Stadium,17.0,100.0
AR Patel,Sawai Mansingh Stadium,9.0,180.0
AR Patel,"Sawai Mansingh Stadium, Jaipur",15.0,115.38461538461536
AR Patel,Sharjah Cricket Stadium,10.2,172.57142857142858
AR Patel,Sheikh Zayed Stadium,5.75,87.14285714285714
AR Patel,Wankhede Stadium,11.0,157.05128205128204
AR Patel,"Wankhede Stadium, Mumbai",17.333333333333332,131.38655462184875
AR Patel,"Zayed Cricket Stadium, Abu Dhabi",12.0,171.42857142857142
AT Rayudu,Arun Jaitley Stadium,27.5,136.20689655172413
AT Rayudu,"Arun Jaitley Stadium, Delhi",72.0,276.9230769230769
AT Rayudu,Barabati Stadium,33.0,126.92307692307692
AT Rayudu,Brabourne Stadium,24.666666666666668,114.54570333880679
AT Rayudu,"Brabourne Stadium, Mumbai",14.333333333333334,82.3015873015873
AT Rayudu,Dr DY Patil Sports Academy,23.5,110.81349206349206
AT Rayudu,"Dr DY Patil Sports Academy, Mumbai",24.0,99.2063492063492
AT Rayudu,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11.6,107.83333333333333
AT Rayudu,Dubai International Cricket Stadium,24.916666666666668,97.03217524409955
AT Rayudu,Eden Gardens,23.6,137.24107931460873
AT Rayudu,Feroz Shah Kotla,26.0,124.95090830494556
AT Rayudu,Himachal Pradesh Cricket Association Stadium,26.0,118.1818181818182
AT Rayudu,M Chinnaswamy Stadium,33.625,106.7808914883383
AT Rayudu,"M Chinnaswamy Stadium, Bengaluru",14.0,233.3333333333333
AT Rayudu,M.Chinnaswamy Stadium,55.5,128.84615384615384
AT Rayudu,MA Chidambaram Stadium,19.77777777777778,98.87037037037038
AT Rayudu,"MA Chidambaram Stadium, Chepauk",12.4,84.78947368421052
AT Rayudu,"MA Chidambaram Stadium, Chepauk, Chennai",13.285714285714286,119.03913080383668
AT Rayudu,Maharashtra Cricket Association Stadium,33.0,121.75104596167839
AT Rayudu,"Maharashtra Cricket Association Stadium, Pune",28.0,139.16666666666669
AT Rayudu,"Narendra Modi Stadium, Ahmedabad",15.5,168.75
AT Rayudu,Punjab Cricket Association IS Bindra Stadium,25.0,95.0
AT Rayudu,"Punjab Cricket Association IS Bindra Stadium, Mohali",65.0,175.67567567567568
